0.14,6.8,8.75,3.65,0.12,2.7,0.42,2.6,0.05,3.6
1.47,7.92,8.06,4.05,0.2,3.53,1.07,3.06,0.39,5.69
3.33,9.1,6.85,4.65,0.28,4.32,2.03,3.67,0.51,6.6
4.33,9.82,6.32,5.05,0.32,4.79,2.62,4.46,0.64,7.41
5.18,10.67,5.83,5.38,0.44,5.92,2.82,4.93,0.89,9.02
5.91,11.59,5.38,5.78,0.52,6.72,3.1,5.7,1.01,9.8
6.52,12.18,4.96,6.31,0.6,7.51,3.34,6.91,1.13,10.73
7.04,12.90,4.58,6.71,0.75,9.18,3.43,7.71,1.3,11.82
7.27,13.36,4.23,7.04,0.86,10.31,3.5,8.84,1.42,12.54
7.68,14.21,3.90,7.50,0.94,11.1,3.54,10.49,1.53,13.39
8.01,15.06,3.32,8.16,1.09,12.7,3.56,13.39,1.64,14.18
8.30,15.84,3.07,8.62,1.2,13.96,,,1.81,15.22
8.54,16.63,2.83,9.16,1.3,15.16,,,1.91,16.2
8.75,17.39,2.61,9.55,1.41,16.42,,,2.07,17.49
9.01,18.59,2.41,9.89,1.81,21.08,,,2.28,18.9
9.15,19.45,2.06,10.68,1.95,22.8,,,2.53,20.95
9.27,20.23,1.90,11.15,2.1,24.73,,,2.82,23.31
9.41,21.41,1.75,11.54,2.2,26.06,,,2.91,24.29
9.49,22.39,1.62,11.94,2.35,27.99,,,3.1,25.79
9.56,22.85,1.38,12.67,2.5,29.97,,,3.4,28.6
9.59,23.50,1.18,13.41,2.71,32.58,,,3.74,31.74
9.71,25.40,1.01,14.23,2.9,35.53,,,4.02,34.45
9.81,27.88,0.79,15.46,3.07,37.98,,,4.28,37.4
9.85,29.32,0.68,16.32,3.2,39.97,,,4.53,40.02
9.90,31.80,0.58,17.05,3.52,45.15,,,4.77,42.89
9.95,37.04,0.50,17.92,4.02,53.71,,,5.02,45.03
9.97,41.42,0.42,18.65,4.11,55.5,,,5.29,49.7
9.99,52.80,0.36,19.45,4.31,59.15,,,5.51,52.92
,,0.31,20.38,4.75,67.97,,,5.72,56.19
,,0.27,21.11,5,73.07,,,6.02,60.78
,,0.21,22.17,5.3,79.9,,,6.26,65.24
,,0.17,23.30,5.5,84.68,,,6.5,70.08
,,0.13,24.63,6,97.7,,,6.75,75.39
,,0.10,25.83,6.25,105.07,,,7,81.27
,,0.08,27.10,6.5,112.89,,,7.39,91.75
,,0.07,27.89,6.75,121.82,,,7.77,104.18
,,0.05,29.48,7,131.06,,,8.06,115.41
,,0.03,31.86,7.5,152.91,,,8.28,124.84
,,0.02,33.45,7.82,170.23,,,8.52,137.46
,,0.01,35.50,,,,,8.81,156.02
,,,,,,,,8.99,170.7
,,,,,,,,9.38,216.17
,,,,,,,,9.47,231.63
